id_hecho,N_VICTIMAS,FECHA,TIPO_DE_CALLE,COMUNA,longitud,latitud,VICTIMA,ACUSADO,HORA
2016-0036,1,2016-03-14,CALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS,0
2016-0037,1,2016-03-19,AVENIDA,7,-58.46275892,-34.64358293,MOTO,MOTO,11
2016-0038,1,2016-03-21,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,8
2016-0039,1,2016-03-23,AVENIDA,3,-58.40603217,-34.6088396,MOTO,PASAJEROS,1
2016-0041,2,2016-03-29,AVENIDA,7,-58.4607655,-34.63350444,MOTO,CARGAS,11
2016-0043,1,2016-03-30,AVENIDA,8,-58.47832463,-34.67494416,PEATON,CARGAS,18
2016-0044,1,2016-03-31,AVENIDA,7,-58.43213235,-34.63693953,MOTO,MULTIPLE,19
2016-0045,1,2016-04-11,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,AUTO,10
2016-0047,1,2016-04-15,CALLE,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,5
2016-0048,1,2016-04-15,AVENIDA,15,-58.44759966,-34.5917024,PEATON,PASAJEROS,17
2016-0049,1,2016-04-17,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,MOTO,AUTO,0
2016-0050,1,2016-04-19,AVENIDA,8,-58.47305463,-34.68550712,PEATON,PASAJEROS,9
2016-0051,1,2016-04-20,AVENIDA,4,-58.40623949,-34.65076549,MOTO,CARGAS,4
2016-0052,1,2016-04-20,AUTOPISTA,13,,,MOTO,AUTO,20
2016-0053,1,2016-04-22,AVENIDA,12,-58.4842918,-34.57558053,PEATON,PASAJEROS,9
2016-0054,1,2016-04-23,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,MOTO,21
2016-0055,1,2016-04-25,AVENIDA,14,-58.40021959,-34.57964781,PEATON,CARGAS,20
2016-0056,1,2016-04-26,AVENIDA,14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,4
2016-0058,1,2016-05-04,CALLE,1,-58.38247542,-34.62556293,PEATON,MOTO,14
2016-0059,1,2016-05-08,CALLE,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,16
2016-0064,1,2016-05-14,AVENIDA,10,-58.49485242,-34.62953445,PEATON,PASAJEROS,18
2016-0065,1,2016-05-20,AVENIDA,6,-58.45227946,-34.61068024,PEATON,AUTO,14
2016-0067,1,2016-05-21,AVENIDA,8,-58.48455411,-34.6751276,MOTO,PASAJEROS,17
2016-0068,1,2016-05-22,AVENIDA,2,-58.39056593,-34.58418569,MOTO,PASAJEROS,22
2016-0069,1,2016-05-23,AVENIDA,3,-58.39118948,-34.62704273,AUTO,CARGAS,3
2016-0073,1,2016-06-11,CALLE,10,-58.49021952,-34.62025108,MOTO,CARGAS,15
2016-0074,1,2016-06-12,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO,AUTO,6
2016-0075,1,2016-06-12,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON,AUTO,23
2016-0076,1,2016-06-13,AVENIDA,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,16
2016-0077,1,2016-06-13,AVENIDA,1,-58.3702777,-34.60536123,PEATON,PASAJEROS,21
2016-0078,1,2016-06-13,AVENIDA,3,-58.40491455,-34.6146383,MOTO,MOTO,23
2016-0079,1,2016-06-16,AVENIDA,13,-58.45504154,-34.54864492,AUTO,AUTO,17
2016-0080,1,2016-06-18,GRAL PAZ,9,-58.52927982,-34.63931752,AUTO,AUTO,6
2016-0081,1,2016-06-22,AVENIDA,12,-58.4872106,-34.55904606,MOTO,AUTO,7
2016-0082,1,2016-06-27,AVENIDA,4,-58.42273092,-34.64228803,PEATON,AUTO,18
2016-0083,1,2016-06-28,AVENIDA,6,-58.44788671,-34.62539009,PEATON,MOTO,20
2016-0084,1,2016-06-29,CALLE,1,-58.38110563,-34.60135531,PEATON,PASAJEROS,22
2016-0085,1,2016-06-29,AVENIDA,4,-58.42378834,-34.657341,MOTO,OTRO,22
2016-0086,1,2016-06-30,AVENIDA,10,-58.48727942,-34.63652467,PEATON,PASAJEROS,16
2016-0087,1,2016-07-02,AUTOPISTA,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,0
2016-0088,1,2016-07-11,CALLE,12,-58.5015175,-34.56767549,PEATON,AUTO,15
2016-0089,1,2016-07-14,AUTOPISTA,13,-58.43233425,-34.55185825,PEATON,AUTO,6
2016-0090,1,2016-07-14,AVENIDA,5,-58.41971993,-34.6111224,PEATON,PASAJEROS,22
2016-0092,1,2016-07-15,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,CARGAS,11
2016-0093,1,2016-07-17,AVENIDA,6,-58.44362126,-34.62301748,AUTO,AUTO,3
2016-0095,1,2016-07-23,AVENIDA,11,-58.51713095,-34.59546519,MOTO,AUTO,6
2016-0096,1,2016-07-25,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,7
2016-0097,1,2016-07-26,CALLE,1,-58.39038605,-34.6156281,PEATON,AUTO,18
2016-0098,1,2016-07-27,AVENIDA,3,-58.40042405,-34.62356174,MOTO,CARGAS,16
2016-0099,1,2016-07-29,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS,CARGAS,16
2016-0100,1,2016-08-03,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,23
2016-0101,1,2016-08-07,GRAL PAZ,9,-58.52932872,-34.65014993,MOTO,AUTO,19
2016-0102,1,2016-08-10,AVENIDA,9,-58.50011639,-34.67316502,MOTO,CARGAS,23
2016-0104,1,2016-08-14,AVENIDA,9,-58.46635001,-34.65624369,MOTO,PASAJEROS,21
2016-0105,1,2016-08-17,AVENIDA,15,-58.45343236,-34.58435809,PEATON,PASAJEROS,0
2016-0106,1,2016-08-19,AVENIDA,1,-58.38090932,-34.58927731,PEATON,PASAJEROS,21
2016-0107,1,2016-08-20,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO,AUTO,8
2016-0109,1,2016-08-24,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,5
2016-0110,1,2016-08-24,AVENIDA,9,-58.51232237,-34.6590353,PEATON,AUTO,20
2016-0111,1,2016-08-25,AUTOPISTA,15,-58.47461905,-34.57663634,MOTO,CARGAS,9
2016-0112,1,2016-08-27,AUTOPISTA,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,4
2016-0113,1,2016-08-27,AVENIDA,9,-58.49603546,-34.64564271,PEATON,PASAJEROS,16
2016-0114,1,2016-08-31,CALLE,14,-58.41848605,-34.59394733,BICICLETA,CARGAS,11
2016-0115,1,2016-09-02,CALLE,12,-58.48935041,-34.54917673,MOTO,CARGAS,11
2016-0116,1,2016-09-02,AVENIDA,8,-58.44451316,-34.68475866,MOTO,AUTO,20
2016-0117,1,2016-09-03,AVENIDA,14,-58.39936478,-34.58271474,AUTO,AUTO,15
2016-0118,1,2016-09-04,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO,AUTO,3
2016-0119,1,2016-09-04,AVENIDA,12,-58.49659234,-34.56353635,MOTO,AUTO,6
2016-0122,1,2016-09-13,AVENIDA,9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,7
2016-0123,1,2016-09-14,AVENIDA,7,-58.45130953,-34.64053676,MOTO,AUTO,9
2016-0124,1,2016-09-16,AVENIDA,7,-58.46271207,-34.62884871,PEATON,PASAJEROS,15
2016-0125,1,2016-09-17,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO,MOTO,12
2016-0126,2,2016-09-18,CALLE,10,-58.52572109,-34.62125906,AUTO,CARGAS,22
2016-0127,1,2016-09-24,AVENIDA,8,-58.44094791,-34.66677111,PEATON,PASAJEROS,10
2016-0128,1,2016-10-02,AVENIDA,5,-58.41914024,-34.6305389,PEATON,PASAJEROS,11
2016-0130,1,2016-10-04,AUTOPISTA,1,-58.37910942,-34.62764717,MOTO,CARGAS,12
2016-0131,1,2016-10-09,CALLE,4,-58.39871183,-34.64539318,PEATON,AUTO,19
2016-0132,1,2016-10-10,AVENIDA,3,-58.41036975,-34.62477021,AUTO,PASAJEROS,2
2016-0133,1,2016-10-14,AVENIDA,14,-58.40204698,-34.5834269,MOTO,AUTO,0
2016-0134,1,2016-10-23,AVENIDA,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,5
2016-0135,1,2016-10-24,AVENIDA,14,-58.42260225,-34.56403694,PEATON,AUTO,5
2016-0136,1,2016-10-25,AUTOPISTA,4,,,MOTO,CARGAS,0
2016-0137,1,2016-10-25,AVENIDA,11,-58.51537091,-34.59035925,MOTO,MOTO,0
2016-0138,1,2016-10-27,AVENIDA,13,-58.4590967,-34.55922742,BICICLETA,CARGAS,20
2016-0139,1,2016-10-28,AVENIDA,14,-58.42008769,-34.56539579,MOTO,MOTO,23
2016-0140,1,2016-10-31,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,2
2016-0142,1,2016-11-05,AVENIDA,1,-58.37533517,-34.59276462,MOTO,PASAJEROS,23
2016-0143,1,2016-11-06,AVENIDA,8,-58.44451316,-34.68475866,MOTO,AUTO,4
2016-0144,1,2016-11-07,AVENIDA,4,-58.35975012,-34.63343907,PEATON,PASAJEROS,12
2016-0145,1,2016-11-07,AVENIDA,13,-58.44523595,-34.55953855,MOTO,AUTO,20
2016-0146,1,2016-11-09,AVENIDA,4,-58.39626094,-34.63036565,PEATON,PASAJEROS,20
2016-0147,1,2016-11-16,AVENIDA,1,-58.38896772,-34.61799615,MOVIL,PASAJEROS,21
2016-0148,1,2016-11-16,AVENIDA,15,-58.46536113,-34.59484504,MOTO,MOTO,22
2016-0150,1,2016-11-18,AVENIDA,4,-58.40879146,-34.65273216,CARGAS,CARGAS,18
2016-0151,1,2016-11-18,CALLE,0,,,PEATON,AUTO,20
2016-0152,1,2016-11-23,AVENIDA,7,-58.46451841,-34.64991946,MOTO,AUTO,21
2016-0153,1,2016-11-25,AVENIDA,15,-58.4291709,-34.59485488,PEATON,MOTO,15
2016-0154,1,2016-11-26,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO,MOTO,14
2016-0155,1,2016-11-26,CALLE,10,-58.52756365,-34.62772274,PEATON,AUTO,16
2016-0156,1,2016-11-26,AVENIDA,3,-58.40638983,-34.61943202,MOTO,PASAJEROS,19
2016-0157,1,2016-12-03,AVENIDA,11,-58.47576807,-34.61740997,MOTO,MOTO,6
2016-0159,1,2016-12-04,AVENIDA,8,-58.44451316,-34.68475866,AUTO,AUTO,7
2016-0160,1,2016-12-06,AUTOPISTA,9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,5
2016-0161,1,2016-12-06,AVENIDA,14,-58.42525456,-34.57866344,PEATON,PASAJEROS,7
2016-0162,1,2016-12-07,AVENIDA,15,-58.45396573,-34.58518167,PEATON,AUTO,5
2016-0163,1,2016-12-10,GRAL PAZ,11,-58.52340614,-34.59798754,MOTO,AUTO,7
2016-0164,1,2016-12-11,AVENIDA,4,-58.42323628,-34.64119105,AUTO,AUTO,6
2016-0165,1,2016-12-12,AVENIDA,4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,8
2016-0168,1,2016-12-13,AVENIDA,4,-58.42323628,-34.64119105,MOTO,AUTO,10
2016-0169,1,2016-12-15,AVENIDA,12,-58.47935434,-34.55676497,MOTO,PASAJEROS,15
2016-0170,1,2016-12-19,GRAL PAZ,12,-58.50598256,-34.5637998,MOTO,AUTO,17
2016-0171,1,2016-12-25,AUTOPISTA,1,-58.36607137,-34.62150748,MOTO,MOTO,19
2016-0172,1,2016-12-26,AVENIDA,5,-58.41918902,-34.63174259,MOTO,CARGAS,8
2016-0173,1,2016-12-26,AVENIDA,7,-58.46749188,-34.63551751,MOTO,CARGAS,19
2016-0174,1,2016-12-27,AUTOPISTA,0,,,MOTO,AUTO,0
2016-0175,1,2016-12-27,CALLE,7,-58.46064174,-34.62960517,PEATON,BICICLETA,8
2016-0176,1,2016-12-28,AVENIDA,1,-58.36956186,-34.61232875,MOTO,PASAJEROS,1
2016-0177,1,2016-12-29,CALLE,14,-58.40966671,-34.58788235,PEATON,AUTO,4
2016-0178,1,2016-12-30,CALLE,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,16
2017-0001,1,2017-01-02,AVENIDA,11,-58.4659423,-34.61028571,MOTO,CARGAS,1
2017-0003,1,2017-01-05,AVENIDA,4,-58.38957669,-34.64410277,CARGAS,CARGAS,3
2017-0007,1,2017-01-11,CALLE,1,-58.3816166,-34.61529543,PEATON,MULTIPLE,17
2017-0008,1,2017-01-16,CALLE,14,-58.43917004,-34.58494351,MOTO,PASAJEROS,0
2017-0009,1,2017-01-16,AUTOPISTA,5,-58.41595919,-34.62743346,MOTO,CARGAS,13
2017-0010,1,2017-01-16,AVENIDA,6,-58.4356488,-34.62828656,MOTO,AUTO,16
2017-0011,1,2017-01-22,GRAL PAZ,12,-58.5007381,-34.5497951,MOTO,OBJETO FIJO,2
2017-0012,1,2017-01-24,CALLE,4,-58.40969005,-34.6505529,MOTO,CARGAS,14
2017-0013,1,2017-01-27,AVENIDA,4,-58.38972622,-34.65098981,PEATON,CARGAS,7
2017-0014,1,2017-01-28,AVENIDA,12,-58.49185972,-34.55046754,MOTO,MULTIPLE,8
2017-0015,1,2017-02-02,AVENIDA,2,-58.39293417,-34.59963642,PEATON,AUTO,15
2017-0016,1,2017-02-03,AUTOPISTA,1,-58.38099494,-34.62288231,MOTO,CARGAS,5
2017-0017,1,2017-02-06,AVENIDA,14,-58.429012,-34.58095431,MOTO,AUTO,8
2017-0018,1,2017-02-09,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO,7
2017-0021,1,2017-02-18,CALLE,1,-58.38362373,-34.60509972,MOTO,PASAJEROS,5
2017-0024,1,2017-02-23,AVENIDA,7,-58.46589308,-34.62955795,PEATON,PASAJEROS,20
2017-0025,1,2017-02-24,AVENIDA,7,-58.43614426,-34.6542464,MOTO,AUTO,17
2017-0026,2,2017-02-26,AVENIDA,4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,5
2017-0027,1,2017-02-26,AVENIDA,1,-58.38332245,-34.6319325,PEATON,AUTO,21
2017-0028,1,2017-02-28,AVENIDA,6,-58.45475488,-34.61196327,PEATON,AUTO,9
2017-0029,1,2017-03-07,CALLE,9,-58.48501341,-34.64742455,MOTO,AUTO,2
2017-0030,1,2017-03-07,AVENIDA,9,-58.47010988,-34.65872088,AUTO,PASAJEROS,8
2017-0031,1,2017-03-11,CALLE,3,-58.4099756,-34.62873635,AUTO,OBJETO FIJO,1
2017-0032,1,2017-03-12,GRAL PAZ,8,-58.48892175,-34.68359163,AUTO,AUTO,5
2017-0033,1,2017-03-12,GRAL PAZ,11,-58.52466448,-34.60325478,AUTO,AUTO,7
2017-0034,1,2017-03-13,CALLE,14,-58.42554218,-34.57929036,PEATON,AUTO,7
2017-0035,3,2017-03-23,AVENIDA,1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,5
2017-0036,2,2017-03-29,GRAL PAZ,12,-58.51452347,-34.58159762,MOTO,PASAJEROS,18
2017-0037,1,2017-03-31,AVENIDA,1,-58.38896772,-34.61799615,MOTO,CARGAS,3
2017-0038,1,2017-04-01,AVENIDA,7,-58.44516857,-34.64363363,MOTO,AUTO,19
2017-0040,1,2017-04-03,AVENIDA,13,-58.43834197,-34.54560369,AUTO,MULTIPLE,9
2017-0041,1,2017-04-03,CALLE,7,-58.45485084,-34.63531854,MOTO,AUTO,23
2017-0042,1,2017-04-10,GRAL PAZ,14,,,MOTO,CARGAS,9
2017-0045,1,2017-04-14,CALLE,10,-58.52449285,-34.62454175,MOTO,OBJETO FIJO,6
2017-0047,1,2017-04-23,AVENIDA,8,-58.46713742,-34.6719879,MOTO,AUTO,6
2017-0049,1,2017-04-27,AVENIDA,8,-58.43850413,-34.65554754,PEATON,PASAJEROS,18
2017-0050,2,2017-04-28,AUTOPISTA,9,,,MOTO,CARGAS,11
2017-0051,1,2017-05-01,AUTOPISTA,7,,,AUTO,AUTO,3
2017-0052,1,2017-05-05,GRAL PAZ,8,-58.49413799,-34.68095739,PEATON,CARGAS,3
2017-0053,1,2017-05-05,CALLE,4,-58.37547846,-34.65326075,MOTO,CARGAS,20
2017-0054,1,2017-05-07,AVENIDA,15,-58.48680218,-34.58689719,MOTO,AUTO,21
2017-0055,1,2017-05-09,AVENIDA,12,-58.49563989,-34.57962262,AUTO,AUTO,8
2017-0058,1,2017-05-09,AVENIDA,1,-58.38403232,-34.5991594,PEATON,MOTO,23
2017-0059,1,2017-05-11,CALLE,1,-58.38223382,-34.62693865,PEATON,PASAJEROS,9
2017-0060,1,2017-05-13,AVENIDA,8,-58.45966521,-34.67323292,MOTO,OBJETO FIJO,7
2017-0061,1,2017-05-15,AVENIDA,2,-58.39303911,-34.59871111,PEATON,MOTO,13
2017-0062,1,2017-05-15,AVENIDA,10,-58.51262106,-34.63395999,MOTO,CARGAS,16
2017-0063,1,2017-05-17,AVENIDA,1,-58.38118367,-34.61646839,PEATON,PASAJEROS,10
2017-0064,1,2017-05-20,CALLE,1,-58.37653284,-34.60582475,CARGAS,AUTO,5
2017-0065,1,2017-05-22,AVENIDA,4,-58.37709334,-34.64035082,BICICLETA,CARGAS,16
2017-0066,1,2017-05-22,AVENIDA,15,-58.46002142,-34.60409469,PEATON,PASAJEROS,18
2017-0067,1,2017-05-23,AVENIDA,6,-58.4338197,-34.62801894,MOTO,CARGAS,2
2017-0068,1,2017-05-27,AVENIDA,8,-58.43580656,-34.66437532,MOTO,OBJETO FIJO,19
2017-0069,1,2017-05-24,GRAL PAZ,9,-58.52173071,-34.65997463,MOTO,AUTO,14
2017-0070,1,2017-05-30,CALLE,11,-58.50791763,-34.59804273,PEATON,AUTO,13
2017-0072,1,2017-06-03,AVENIDA,12,-58.49175088,-34.58226957,AUTO,AUTO,23
2017-0073,1,2017-06-04,AVENIDA,3,-58.40781467,-34.60425669,MOTO,AUTO,9
2017-0074,1,2017-06-04,CALLE,9,-58.52567073,-34.63787791,MOTO,AUTO,12
2017-0075,1,2017-06-12,AVENIDA,1,-58.381542,-34.60906385,PEATON,MOTO,22
2017-0076,1,2017-06-13,AVENIDA,2,-58.38526125,-34.5780581,PEATON,CARGAS,14
2017-0077,1,2017-06-17,CALLE,14,-58.42934104,-34.58451712,MOTO,CARGAS,23
2017-0079,1,2017-06-19,CALLE,3,-58.40657493,-34.61781124,MOTO,CARGAS,16
2017-0080,1,2017-06-22,AVENIDA,9,-58.49525314,-34.64487785,PEATON,CARGAS,10
2017-0082,1,2017-06-25,AVENIDA,4,-58.39092851,-34.62932696,PEATON,AUTO,22
2017-0083,1,2017-07-04,AVENIDA,9,-58.49603546,-34.64564271,MOTO,CARGAS,0
2017-0084,1,2017-07-05,AVENIDA,2,-58.38502878,-34.58703485,PEATON,PASAJEROS,12
2017-0085,1,2017-07-07,AVENIDA,4,-58.37261143,-34.63150425,PEATON,PASAJEROS,14
2017-0086,1,2017-07-09,AVENIDA,9,-58.51876802,-34.63905965,PEATON,MOTO,7
2017-0087,1,2017-07-10,CALLE,3,-58.41095567,-34.61516101,PEATON,AUTO,10
2017-0088,1,2017-07-10,AVENIDA,1,-58.36797542,-34.62519403,PEATON,PASAJEROS,22
2017-0089,1,2017-07-13,CALLE,9,-58.51514709,-34.64787051,MOTO,AUTO,12
2017-0090,1,2017-07-15,GRAL PAZ,11,-58.51925642,-34.59171721,PEATON,AUTO,5
2017-0091,1,2017-07-15,GRAL PAZ,12,-58.48671535,-34.54321216,MOTO,AUTO,13
2017-0092,1,2017-07-24,AUTOPISTA,1,-58.38268809,-34.62282019,PEATON,AUTO,22
2017-0093,1,2017-07-25,AUTOPISTA,13,-58.43633522,-34.54966288,PEATON,AUTO,16
2017-0094,1,2017-07-27,CALLE,10,-58.52640838,-34.61765855,BICICLETA,CARGAS,8
2017-0095,1,2017-08-06,AVENIDA,14,-58.41894306,-34.59778875,MOTO,AUTO,8
2017-0096,1,2017-08-07,AVENIDA,13,-58.46756026,-34.54972741,PEATON,PASAJEROS,19
2017-0098,1,2017-08-08,CALLE,7,-58.45715752,-34.63132912,PEATON,AUTO,12
2017-0099,1,2017-08-17,AVENIDA,14,-58.42406784,-34.56213916,BICICLETA,AUTO,19
2017-0100,1,2017-08-21,CALLE,3,-58.3967447,-34.61512051,MOTO,OBJETO FIJO,7
2017-0101,1,2017-08-23,AVENIDA,13,-58.44537508,-34.57084818,PEATON,MULTIPLE,10
2017-0102,1,2017-08-24,AVENIDA,4,-58.40056767,-34.6510708,PEATON,CARGAS,1
2017-0104,1,2017-08-25,AVENIDA,1,-58.38109568,-34.61853244,PEATON,CARGAS,9
2017-0106,1,2017-08-31,CALLE,14,-58.42533612,-34.58035258,PEATON,PASAJEROS,19
2017-0107,1,2017-09-01,AVENIDA,13,-58.46062311,-34.54395182,MOTO,CARGAS,11
2017-0108,2,2017-09-02,GRAL PAZ,12,-58.49491054,-34.54795581,OBJETO FIJO,AUTO,4
2017-0109,1,2017-09-04,AVENIDA,7,-58.47130269,-34.63665402,MOTO,AUTO,21
2017-0110,1,2017-09-06,AVENIDA,1,-58.370488,-34.60189492,PEATON,PASAJEROS,14
2017-0111,1,2017-09-07,CALLE,4,-58.42023854,-34.6423411,PEATON,CARGAS,18
2017-0112,2,2017-09-10,AUTOPISTA,7,-58.45807401,-34.6399743,AUTO,OBJETO FIJO,9
2017-0113,1,2017-09-11,AVENIDA,1,-58.37697717,-34.59573848,PEATON,PASAJEROS,6
2017-0114,1,2017-09-15,AVENIDA,2,-58.3910058,-34.5849866,AUTO,OBJETO FIJO,2
2017-0115,1,2017-09-19,AVENIDA,5,-58.42182126,-34.63089661,MOTO,BICICLETA,18
2017-0116,1,2017-09-20,GRAL PAZ,12,-58.51389422,-34.58075791,MOTO,OBJETO FIJO,22
2017-0118,1,2017-09-22,AVENIDA,4,-58.37585415,-34.65232158,MOTO,AUTO,7
2017-0120,1,2017-10-02,AUTOPISTA,9,-58.47297505,-34.66245085,MOTO,CARGAS,15
2017-0123,1,2017-10-10,AVENIDA,8,-58.46855503,-34.67216349,PEATON,AUTO,1
2017-0124,1,2017-10-12,CALLE,15,-58.44254033,-34.59185043,MOTO,PASAJEROS,14
2017-0125,1,2017-10-13,AVENIDA,8,-58.46622247,-34.67926929,MOTO,OBJETO FIJO,6
2017-0126,2,2017-10-14,AVENIDA,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,6
2017-0127,1,2017-10-16,AVENIDA,2,-58.41192137,-34.59800248,MOTO,MOTO,7
2017-0128,1,2017-10-17,CALLE,6,-58.44034689,-34.61349731,PEATON,PASAJEROS,12
2017-0129,1,2017-10-26,AUTOPISTA,9,-58.47155277,-34.64925746,MOTO,PASAJEROS,19
2017-0130,1,2017-10-27,AVENIDA,15,-58.47883099,-34.59967065,AUTO,CARGAS,5
2017-0132,1,2017-10-30,AVENIDA,8,-58.46552171,-34.6937413,MOTO,PASAJEROS,14
2017-0134,1,2017-11-06,AVENIDA,8,-58.4423972,-34.66777987,PEATON,PASAJEROS,18
2017-0135,1,2017-11-07,AVENIDA,15,-58.47032551,-34.59626814,MOTO,CARGAS,12
2017-0136,1,2017-11-16,AVENIDA,4,-58.41827843,-34.65522746,PEATON,PASAJEROS,8
2017-0137,1,2017-11-17,AVENIDA,11,-58.51280715,-34.59279388,PEATON,CARGAS,11
2017-0138,1,2017-11-19,AVENIDA,7,-58.46258582,-34.64385704,MOTO,OBJETO FIJO,10
2017-0139,1,2017-11-19,AVENIDA,8,-58.45064148,-34.68003614,AUTO,OBJETO FIJO,22
2017-0140,1,2017-11-19,AUTOPISTA,4,,,MOTO,PASAJEROS,23
2017-0141,1,2017-11-23,AVENIDA,6,-58.42717783,-34.62513374,PEATON,PASAJEROS,19
2017-0143,1,2017-11-25,CALLE,11,-58.46442001,-34.60724519,AUTO,PASAJEROS,21
2017-0144,1,2017-11-26,GRAL PAZ,8,-58.47064556,-34.69843756,AUTO,OBJETO FIJO,6
2017-0145,1,2017-11-26,CALLE,5,-58.41677733,-34.61223119,MOTO,AUTO,17
2017-0147,1,2017-11-28,GRAL PAZ,9,-58.5025179,-34.67450313,MOTO,AUTO,11
2017-0148,1,2017-11-29,AVENIDA,3,-58.40708125,-34.62438894,PEATON,PASAJEROS,10
2017-0149,1,2017-11-30,AVENIDA,1,-58.36947198,-34.61477051,PEATON,PASAJEROS,12
2017-0150,1,2017-12-04,AVENIDA,9,-58.51140889,-34.63934531,PEATON,AUTO,1
2017-0151,1,2017-12-04,CALLE,4,-58.37460912,-34.65559133,PEATON,PASAJEROS,2
2017-0152,1,2017-12-06,CALLE,4,-58.41146277,-34.65073916,BICICLETA,PASAJEROS,17
2017-0153,2,2017-12-11,AVENIDA,6,-58.42855267,-34.61829385,MOTO,PASAJEROS,2
2017-0154,1,2017-12-11,AVENIDA,4,-58.39035581,-34.63412287,PEATON,PASAJEROS,9
